Timestamp,Temperature,Humidity
2025-07-01 06:00:00,33.6,59.3
2025-07-01 06:15:00,24.3,61.7
2025-07-01 06:30:00,34.5,48.7
2025-07-01 06:45:00,29.4,53.1
2025-07-01 07:00:00,31.5,47.3
2025-07-01 07:15:00,28.6,57.5
2025-07-01 07:30:00,26.1,73.8
2025-07-01 07:45:00,25.7,65.8
2025-07-01 08:00:00,27.2,78.6
2025-07-01 08:15:00,33.2,48.6
2025-07-01 08:30:00,26.1,78.0
2025-07-01 08:45:00,30.0,73.0
2025-07-01 09:00:00,26.0,61.3
2025-07-01 09:15:00,28.0,41.2
2025-07-01 09:30:00,28.6,48.0
2025-07-01 09:45:00,31.5,46.9
2025-07-01 10:00:00,34.6,79.2
2025-07-01 10:15:00,27.5,61.5
2025-07-01 10:30:00,34.9,50.3
2025-07-01 10:45:00,30.1,44.0
2025-07-01 11:00:00,25.6,71.7
2025-07-01 11:15:00,32.5,78.5
2025-07-01 11:30:00,30.0,74.3
2025-07-01 11:45:00,35.7,61.2
2025-07-01 12:00:00,35.2,47.6
2025-07-01 12:15:00,25.1,73.6
2025-07-01 12:30:00,29.7,53.7
2025-07-01 12:45:00,28.5,49.2
2025-07-01 13:00:00,28.9,79.2
2025-07-01 13:15:00,27.4,54.9
2025-07-01 13:30:00,24.7,52.8
2025-07-01 13:45:00,25.2,69.9
2025-07-01 14:00:00,25.9,53.2
2025-07-01 14:15:00,25.0,78.0
2025-07-01 14:30:00,34.2,42.2
2025-07-01 14:45:00,35.9,43.6
2025-07-01 15:00:00,29.5,79.6
2025-07-01 15:15:00,30.7,79.2
2025-07-01 15:30:00,31.2,71.0
2025-07-01 15:45:00,27.9,56.8
2025-07-01 16:00:00,24.7,75.7
2025-07-01 16:15:00,25.2,56.9
2025-07-01 16:30:00,29.4,78.2
2025-07-01 16:45:00,25.3,63.3
2025-07-01 17:00:00,27.6,79.7
2025-07-01 17:15:00,29.4,65.8
2025-07-01 17:30:00,28.4,77.1
2025-07-01 17:45:00,24.5,64.6
2025-07-01 18:00:00,34.6,69.9
2025-07-01 18:15:00,34.9,63.4
2025-07-01 18:30:00,31.4,48.1
2025-07-01 18:45:00,27.5,45.7
2025-07-01 19:00:00,28.8,53.5
2025-07-01 19:15:00,31.6,59.9
2025-07-01 19:30:00,32.8,55.1
2025-07-01 19:45:00,33.2,47.0
2025-07-01 20:00:00,27.8,59.9
2025-07-01 20:15:00,25.4,45.0
2025-07-01 20:30:00,27.9,59.7
2025-07-01 20:45:00,25.8,51.7
2025-07-01 21:00:00,29.7,59.7
2025-07-01 21:15:00,34.7,41.8
2025-07-01 21:30:00,26.8,40.7
2025-07-01 21:45:00,31.9,79.3
